,0,1,2,3,4
0,Number of establishment and person engaged in cottage industry 2011,,,,
1,Sirajganj,,,,
2,,,,,
3,Upazila,Number of unit,Person engaged - Family,Person engaged - Hired,Person engaged - Total
4,Belkuchi,3444,2105,6305,8410
5,Chauhali,1468,2186,394,2580
6,Kamarkhanda,1848,1410,1100,2510
7,Kazipur,112,223,125,348
8,Royganj,151,313,0,313
9,Shahjadpur,7026,26375,51215,77590
10,Sirajganj Sadar,5437,5632,10700,16332
11,Tarash,32,64,0,64
12,Ullahpara,529,952,125,1077
13,Total,20047,39260,69964,109224
