,0,1,2,3,4,5,6
0,Number of selected agricultural machine 2008,,,,,,
1,Sunamganj,,,,,,
2,,,,,,,
3,Upazila Bishwamvarpur Chhatak Dakshin Sunamganj Derai Dharmapasha Doarabazar Jagannathpur Jamalganj Shalla Sunamganj Sadar Tahirpur Total,Power tiller 215 308 469 250 230 85 110 495 557 132 133 2984,Tractor 3 0 7 7 95 5 0 0 0 0 10 127,Threshing machine 180 157 304 300 592 90 130 610 415 176 100 3054,,,
4,4.15 Use of fertilizer 2010-11,4.15 Use of fertilizer 2010-11,,,,,  (in metric ton)
5,Upazila,UREA,UREA,TSP,MP,DAP,Other
6,Bishwamvarpur,Bishwamvarpur,1950,45,60,10,0
7,Chhatak,Chhatak,2186,226,188,26,0
8,Dakshin Sunamganj,Dakshin Sunamganj,2700,800,475,65,267
9,Derai,Derai,2497,350,250,0,10
10,Dharmapasha,Dharmapasha,4800,1050,950,100,200
11,Doarabazar,Doarabazar,2250,250,100,90,850
12,Jagannathpur,Jagannathpur,1730,24,16,0,0
13,Jamalganj,Jamalganj,2440,295,250,50,30
14,Shalla,Shalla,35,300,270,143,40
15,Sunamganj Sadar,Sunamganj Sadar,1205,255,220,65,26
16,Tahirpur,Tahirpur,2300,308,210,173,547
17,Total,Total,24093,3903,2989,722,1970
