,0,1,2,3,4,5,6
0,Literacy (7+) rate of 2001  2011,,,,,,
1,,,,,,,
2,Upazila,2001 Male,2001 Female,2001 Both,2011 Male,2011 Female,2011 Both
3,Bishwamvarpur,32.3,24.5,28.4,35.4,33.7,34.6
4,Chhatak,40.0,32.4,36.3,40.8,36.3,38.6
5,Dakshin Sunamganj,-,-,-,33.7,30.9,32.3
6,Derai,38.4,32.2,35.4,38.5,35.8,37.1
7,Dharmapasha,29.6,23.0,26.4,30.6,27.7,29.2
8,Doarabazar,35.0,26.4,30.8,31.8,29.0,30.4
9,Jagannathpur,48.1,42.3,45.3,41.6,38.2,39.9
10,Jamalganj,33.9,25.2,29.6,34.6,30.2,32.5
11,Shalla,38.8,33.2,36.0,36.4,32.1,34.3
12,Sunamganj Sadar,39.5,31.0,35.3,41.3,36.2,38.8
13,Tahirpur,36.2,25.9,31.2,33.2,27.5,30.4
14,Total,38.1,30.5,34.4,36.9,33.1,35.0
