,0,1,2,3,4,5,6,7,8
0,"Number of Government college, teacher and student 2011",,,,,,,,
1,Sunamganj,,,,,,,,
2,,,,,,,,,
3,Upazila,Number of college,Number of teacher Male,Number of teacher Female,Number of teacher Total,Number of student Male,Number of student Female,Number of student Total,Student per teacher
4,Bishwamvarpur,0,0,0,0,0,0,0,0
5,Chhatak,0,0,0,0,0,0,0,0
6,Dakshin Sunamganj,0,0,0,0,0,0,0,0
7,Derai,0,0,0,0,0,0,0,0
8,Dharmapasha,0,0,0,0,0,0,0,0
9,Doarabazar,0,0,0,0,0,0,0,0
10,Jagannathpur,0,0,0,0,0,0,0,0
11,Jamalganj,0,0,0,0,0,0,0,0
12,Shalla,0,0,0,0,0,0,0,0
13,Sunamganj Sadar,2,35,6,41,1853,2106,3959,96
14,Tahirpur,0,0,0,0,0,0,0,0
15,Total,2,35,6,41,1853,2106,3959,96
