,0,1,2,3,4,5,6
0,"Selected poultry, bird 2008",,,,,,
1,Sylhet,,,,,,
2,,,,,,,
3,Upazila/City Corporation,Hen and cocks Holding reporting,Hen and cocks Total number,Ducks Holding reporting,Ducks Total number,Others Holding reporting,Others Total number
4,Balaganj,19582,110963,10905,54402,510,1830
5,Beanibazar,1830,255727,1585,137000,79,75000
6,Bishwanath,18258,120140,8141,43161,26,82
7,Companiganj,10416,1253000,4310,105000,4100,20500
8,Dakhin Surma,0,118592,0,46706,0,0
9,Fenchuganj,13652,16777,8132,11679,45,8000
10,Golapganj,27209,179219,8999,47921,186,167352
11,Gowainghat,2087,62980,2087,20500,0,0
12,Jaintiapur,57,20504,62,57890,15,105
13,Kanaighat,4006,186460,10363,25600,108,15652
14,Sylhet City Corporation,0,0,0,0,0,0
15,Sylhet Sadar,24859,161293,9903,52159,143,688
16,Zakiganj,14652,32623,8073,16000,178,21761
17,Total,136608,2518278,72560,618018,5390,310970
