,0,1,2,3,4
0,Number of tea factory and person engaged 2011,,,,
1,Sylhet,,,,
2,,,,,
3,Upazila/City Corporation,Units,Person engaged Male,Person engaged Female,Person engaged Total
4,Balaganj,0,0,0,0
5,Beanibazar,0,0,0,0
6,Bishwanath,0,0,0,0
7,Companiganj,0,0,0,0
8,Dakhin Surma,0,0,0,0
9,Fenchuganj,3,325,375,700
10,Golapganj,0,0,0,0
11,Gowainghat,1,357,454,811
12,Jaintiapur,0,0,0,0
13,Kanaighat,1,150,100,250
14,Sylhet City Corporation,0,0,0,0
15,Sylhet Sadar,7,1038,4150,5188
16,Zakiganj,0,0,0,0
17,Total,12,1870,5079,6949
