,0,1,2,3,4
0,Number of agricultural holding per agriculture service personnel 2011,,,,
1,Tangail,,,,
2,,,,,
3,Upazila,Agricultural holding,Agricultural extension personnel,Total agricultural personnel,Number of holding per agricultural personnel
4,Basail,23546,28,26203,13109
5,Bhuapur,45173,29,34377,13429
6,Delduar,27171,39,24923,15524
7,Dhanbari,44094,21,33935,12665
8,Ghatail,65890,33,97536,32231
9,Gopalpur,48268,41,47448,18621
10,Kalihati,51788,41,71130,24427
11,Madhupur,67893,32,77318,25487
12,Mirzapur,85299,45,61390,31686
13,Nagarpur,41486,36,81217,21566
14,Sakhipur,44845,25,60118,28447
15,Tangail Sadar,46144,53,42522,25261
16,Total,591597,423,658117,262453
